start,finish,ID,activity,round
0,9,Targaryen,loading,1
9,18,Targaryen,hauling,1
18,27,Targaryen,dumping,1
18,28,Stark,loading,1
27,36,Targaryen,returning,1
28,38,Stark,hauling,1
36,45,Targaryen,loading,2
38,48,Stark,dumping,1
45,54,Targaryen,hauling,2
48,58,Stark,returning,1
54,63,Targaryen,dumping,2
54,69,Lannister,loading,1
63,72,Targaryen,returning,2
69,79,Stark,loading,2
69,84,Lannister,hauling,1
79,89,Stark,hauling,2
84,93,Targaryen,loading,3
84,99,Lannister,dumping,1
89,99,Stark,dumping,2
93,102,Targaryen,hauling,3
99,109,Stark,returning,2
99,114,Lannister,returning,1
102,111,Targaryen,dumping,3
109,119,Stark,loading,3
111,120,Targaryen,returning,3
119,129,Stark,hauling,3
120,129,Targaryen,loading,4
129,138,Targaryen,hauling,4
129,139,Stark,dumping,3
129,144,Lannister,loading,2
138,147,Targaryen,dumping,4
139,149,Stark,returning,3
144,159,Lannister,hauling,2
147,156,Targaryen,returning,4
149,159,Stark,loading,4
159,169,Stark,hauling,4
159,174,Lannister,dumping,2
169,178,Targaryen,loading,5
169,179,Stark,dumping,4
174,189,Lannister,returning,2
178,187,Targaryen,hauling,5
179,189,Stark,returning,4
187,196,Targaryen,dumping,5
189,199,Stark,loading,5
196,205,Targaryen,returning,5
199,209,Stark,hauling,5
205,220,Lannister,loading,3
209,219,Stark,dumping,5
219,229,Stark,returning,5
220,235,Lannister,hauling,3
229,239,Stark,loading,6
235,250,Lannister,dumping,3
239,249,Stark,hauling,6
249,259,Stark,dumping,6
250,265,Lannister,returning,3
259,269,Stark,returning,6
265,280,Lannister,loading,4
280,290,Stark,loading,7
280,295,Lannister,hauling,4
290,300,Stark,hauling,7
295,310,Lannister,dumping,4
300,310,Stark,dumping,7
310,320,Stark,returning,7
310,325,Lannister,returning,4
320,330,Stark,loading,8
330,340,Stark,hauling,8
340,350,Stark,dumping,8
340,355,Lannister,loading,5
350,360,Stark,returning,8
355,370,Lannister,hauling,5
360,370,Stark,loading,9
370,380,Stark,hauling,9
370,385,Lannister,dumping,5
380,390,Stark,dumping,9
385,400,Lannister,returning,5
390,400,Stark,returning,9
400,410,Stark,loading,10
410,420,Stark,hauling,10
420,430,Stark,dumping,10
420,435,Lannister,loading,6
430,440,Stark,returning,10
435,450,Lannister,hauling,6
440,450,Stark,loading,11
450,460,Stark,hauling,11
450,465,Lannister,dumping,6
460,470,Stark,dumping,11
465,480,Lannister,returning,6
470,480,Stark,returning,11
480,490,Stark,loading,12
490,500,Stark,hauling,12
500,510,Stark,dumping,12
510,520,Stark,returning,12
520,530,Stark,loading,13
530,540,Stark,hauling,13
540,550,Stark,dumping,13
550,560,Stark,returning,13
560,570,Stark,loading,14
570,580,Stark,hauling,14
580,590,Stark,dumping,14
590,600,Stark,returning,14
600,610,Stark,loading,15
610,620,Stark,hauling,15
620,630,Stark,dumping,15
630,640,Stark,returning,15
640,650,Stark,loading,16
650,660,Stark,hauling,16
660,670,Stark,dumping,16
670,680,Stark,returning,16
680,690,Stark,loading,17
690,700,Stark,hauling,17
700,710,Stark,dumping,17
710,720,Stark,returning,17
720,730,Stark,loading,18
730,740,Stark,hauling,18
740,750,Stark,dumping,18
750,760,Stark,returning,18
760,770,Stark,loading,19
770,780,Stark,hauling,19
780,790,Stark,dumping,19
790,800,Stark,returning,19
800,810,Stark,loading,20
810,820,Stark,hauling,20
820,830,Stark,dumping,20
830,840,Stark,returning,20
840,850,Stark,loading,21
850,860,Stark,hauling,21
860,870,Stark,dumping,21
870,880,Stark,returning,21
880,890,Stark,loading,22
890,900,Stark,hauling,22
900,910,Stark,dumping,22
910,920,Stark,returning,22
920,930,Stark,loading,23
930,940,Stark,hauling,23
940,950,Stark,dumping,23
950,960,Stark,returning,23
960,970,Stark,loading,24
970,980,Stark,hauling,24
980,990,Stark,dumping,24
990,1000,Stark,returning,24
1000,1010,Stark,loading,25
1010,1020,Stark,hauling,25
1020,1030,Stark,dumping,25
1030,1040,Stark,returning,25
1040,1050,Stark,loading,26
1050,1060,Stark,hauling,26
1060,1070,Stark,dumping,26
1070,1080,Stark,returning,26
1080,1090,Stark,loading,27
1090,1100,Stark,hauling,27
1100,1110,Stark,dumping,27
1110,1120,Stark,returning,27
1120,1130,Stark,loading,28
1130,1140,Stark,hauling,28
1140,1150,Stark,dumping,28
1150,1160,Stark,returning,28
1160,1170,Stark,loading,29
1170,1180,Stark,hauling,29
1180,1190,Stark,dumping,29
1190,1200,Stark,returning,29
1200,1210,Stark,loading,30
1210,1220,Stark,hauling,30
1220,1230,Stark,dumping,30
1230,1240,Stark,returning,30
